lastName,firstName,POS,Team,FGA,FTA,REB,AST,PTS,TOV,STL,BLK,SEC
Jennings,Brandon,PG,Bucks,16,3,11,18,20,3,0,2,2988
Jerebko,Jonas,PF,Jazz,291,53,214,37,361,23,23,11,58578
Joerger,Dave,C,Kings,0,0,0,0,0,0,0,0,0
Johnson,Amir,PF,76ers,203,77,259,82,272,49,37,36,55436
Johnson,Brice,PF,Grizzlies,32,2,25,1,32,5,8,3,4391
Johnson,Dakari,C,Thunder,39,20,34,8,55,4,6,8,9550
Johnson,James,PF,Heat,510,127,291,237,637,119,61,40,96792
Johnson,Joe,SF,Rockets,284,32,134,61,293,40,15,6,56823
Johnson,Stanley,SF,Pistons,443,119,199,84,483,63,67,11,92100
Johnson,Tyler,PG,Heat,604,121,205,139,717,69,55,29,104626
Johnson,Wesley,SF,Clippers,319,53,190,52,348,52,66,58,77732
Jokic,Nikola,C,Nuggets,784,267,658,382,1085,177,75,49,119067
Jones,Damian,C,Warriors,0,0,1,0,0,1,0,1,660
Jones,Jalen,SF,Mavericks,24,6,18,2,27,2,2,0,3734
Jones,Perry,SF,Pelicans,4,2,3,0,5,0,0,0,1157
Jones,Terrence,PF,Warriors,0,0,0,0,0,0,0,0,0
Jones,Tyus,PG,Timberwolves,281,64,120,189,356,48,79,5,75770
Jones Jr.,Derrick,SF,Heat,47,20,33,7,51,6,4,13,13865
Jordan,DeAndre,C,Clippers,475,250,988,93,769,113,37,62,122324
Joseph,Cory,PG,Pacers,512,87,228,218,566,75,72,15,114586
Kaminsky,Frank,PF,Hornets,617,169,243,103,739,52,33,21,93166
Kanter,Enes,C,Knicks,651,157,701,95,914,116,34,35,99453
Kaun,Sasha,C,Cavaliers,0,0,0,0,0,0,0,0,0
Kelly,Ryan,PF,Hawks,0,0,0,0,0,0,0,0,0
Kennard,Luke,SG,Pistons,347,50,131,90,401,55,34,9,67383
Kerr,Steve,C,Warriors,0,0,0,0,0,0,0,0,720
Kidd,Jason,C,Bucks,0,0,0,0,0,0,0,0,720
Kidd-Gilchrist,Michael,SF,Hornets,478,142,258,64,586,43,44,28,93476
Kilpatrick,Sean,SG,Clippers,176,38,60,32,176,25,7,2,24382
Kleber,Maximilian,PF,Mavericks,253,47,177,41,302,22,22,36,59079
Knight,Brandon,SG,Suns,0,0,0,0,0,0,0,0,0
Korkmaz,Furkan,SG,76ers,12,2,6,2,9,1,1,0,1919
Kornet,Luke,F,Knicks,47,2,26,6,40,2,3,8,6648
Korver,Kyle,SG,Cavaliers,459,67,147,84,637,49,27,26,87693
Koufos,Kosta,C,Kings,356,70,436,78,433,49,42,28,76801
Kuzma,Kyle,PF,Lakers,877,165,415,121,1032,114,42,31,121301
Kuzminskas,Mindaugas,F,Knicks,2,0,0,0,0,0,0,0,111
Labissiere,Skal,PF,Kings,385,107,242,57,455,57,23,42,63147
Lamb,Jeremy,SG,Hornets,729,190,278,154,903,78,53,29,101075
Larkin,Shane,PG,Celtics,156,28,57,58,171,25,22,2,33235
Lauvergne,Joffrey,C,Spurs,178,43,163,38,214,32,9,3,29946
LaVine,Zach,SG,Bulls,355,107,95,72,401,43,24,4,39378
Layman,Jake,SF,Trail Blazers,44,3,14,10,30,5,6,4,9177
Leaf,T. J.,PF,Pacers,121,12,76,8,140,10,5,4,25448
Lee,Courtney,SF,Knicks,683,121,204,167,832,80,76,13,125325
Lee,Damian,SG,Hawks,24,8,8,4,34,2,3,0,3869
Lemon Jr.,Walter,C,Pelicans,16,3,2,5,17,4,0,1,2106
Len,Alex,C,Suns,305,196,454,68,475,68,24,55,72001
Leonard,Kawhi,SF,Spurs,111,38,42,21,146,16,18,9,12592
Leonard,Meyers,C,Trail Blazers,62,10,55,13,89,7,5,0,12262
Leuer,Jon,PF,Pistons,36,15,32,5,43,8,1,3,8188
Levert,Caris,SG,Nets,614,162,221,243,719,133,67,19,93671
Liggins,DeAndre,SG,Pelicans,97,5,68,43,101,19,37,13,40304
Lillard,Damian,PG,Trail Blazers,1204,457,279,410,1684,188,63,26,137768
Lin,Jeremy,SG,Nets,12,7,0,4,18,3,0,0,1511
Livingston,Shaun,PG,Warriors,290,52,110,119,335,51,26,18,57396
Long,Shawn,PF,76ers,0,0,0,0,0,0,0,0,0
Looney,Kevon,PF,Warriors,132,62,154,30,183,25,20,37,38900
Lopez,Brook,C,Lakers,650,120,235,98,778,86,26,85,82895
Lopez,Robin,C,Bulls,622,88,278,119,733,101,14,49,97515
Love,Kevin,PF,Cavaliers,602,222,448,78,857,72,33,20,80548
Lowry,Kyle,PG,Raptors,802,239,370,443,1083,152,79,10,126857
Luwawu-Cabarrot,Timothe,SG,76ers,267,58,72,54,299,38,12,5,48394
Lydon,Tyler,F,Nuggets,0,0,0,0,0,0,0,0,130
Lyles,Trey,PF,Nuggets,507,135,315,80,669,57,30,30,76447
Mack,Shelvin,PG,Magic,305,79,133,210,363,75,41,7,64968
Magette,Josh,PG,Hawks,22,8,10,37,28,4,4,0,6819
Mahinmi,Ian,C,Wizards,205,115,273,44,318,87,32,38,59918
Maker,Thon,C,Bucks,281,83,215,42,322,40,35,50,68102
Malone,Michael,C,Nuggets,0,0,0,0,0,0,0,0,720
Marjanovic,Boban,C,Clippers,109,60,89,16,162,29,8,8,14474
Markkanen,Lauri,PF,Bulls,767,133,458,70,892,71,33,37,109519
Martin,Jarell,PF,Grizzlies,413,100,268,62,481,74,36,45,84545
Mason,Frank,PG,Kings,305,98,99,119,338,54,32,7,48631
Mathiang,Mangok,PF,Hornets,2,0,6,0,0,0,0,0,622
Matthews,Wesley,SG,Mavericks,697,101,198,172,802,84,76,16,127885
Mbah a Moute,Luc,PF,Rockets,301,84,167,51,403,62,53,25,83910
McAdoo,James Michael,PF,76ers,7,2,2,0,8,1,0,1,1077
McCaw,Patrick,SG,Warriors,175,25,73,70,188,32,37,9,47880
McClellan,Sheldon,G,Wizards,0,0,0,0,0,0,0,0,0
McCollum,CJ,SG,Trail Blazers,1270,221,271,221,1498,128,64,30,149169
McConnell,TJ,PG,76ers,371,34,197,262,422,103,83,10,89275
McCree,Erik,SF,Jazz,2,0,1,0,0,1,1,0,452
McCullough,Chris,PF,Wizards,42,14,25,4,46,2,0,5,5386
McDaniels,KJ,SF,Raptors,0,0,0,0,0,0,0,0,0
McDermott,Doug,SF,Mavericks,430,74,176,73,534,46,16,13,92394
McGee,JaVale,C,Warriors,157,44,126,27,234,22,18,49,29600
McGruder,Rodney,SG,Heat,45,2,16,10,55,3,4,2,10723
McKinney-Jones,Trey,G,Pacers,0,0,0,0,0,0,0,0,74
